OBJECTID,ID,BLDGID,SSR,TOPELEV_M,MED_SLOPE,BASEELEV_M,HGT_AGL,ROOFTYPE,AREA_M2,AVGHT_M,MINHT_M,MAXHT_M,BASE_M,LEN,WID,ORIENT8,Shape_Leng,Shape_Area
1,231350,11677,41,271.5,1,180.5,91,Flat,7171.177,86.31,-0.03,177.07,180.95,121.66,65.15,-1.7,135.38571185,964.948440541
2,231541,419,999,210.79,15,180.8,29.99,Complex,5424.272,31.19,-0.01,55.04,180.92,176.11,30.8,0.89,46.6848516089,98.5395214642
3,231542,133,41,188.45,6,179.97,8.48,Flat,100.885,8.22,6.04,8.55,180.09,21.09,4.78,0.47,51.7441750889,100.884822235
4,231543,11619,41,204.06,4,181.06,23,Flat,5345.009,46.25,0.49,103.76,181.11,99.06,56.15,0.17,42.3795867134,107.808764939
5,231545,10231,41,240.89,7,181.14,59.75,Flat,11771.038,50.16,0,85.8,181.19,121.54,100.89,0,55.3685999978,125.669534862
6,231546,7236,42,207.52,30,180.79,26.73,Pitched,2008.411,88.59,-0.39,161.86,181.04,53.03,37.88,0.95,56.4118044403,132.687565903
7,231547,56,41,301.85,14,181.15,120.7,Flat,11605.697,36.98,0,131.47,180.98,131.29,109.82,0.78,50.7300305692,144.723548825
8,231548,1580,41,219.06,3,180.81,38.25,Flat,1989.374,36.29,-0.01,57.62,180.85,90.35,22.02,0.43,50.8713275155,150.470398203
9,231549,141,41,193.54,7,180.84,12.71,Flat,3338.429,32.22,0,84.48,180.92,86.15,43.55,-0.23,52.3058234124,170.322244499
10,231550,18,42,189.39,32,180.8,8.59,Pitched,188.573,8.72,3.11,11.07,180.89,22.31,8.45,0,61.5274,188.572944364
11,231551,25,42,189.54,25,180.76,8.78,Pitched,188.573,8.8,2.9,11.07,180.91,22.31,8.45,0,61.5273999982,188.57294433
12,231552,8440,42,263.03,30,180.81,82.22,Pitched,5793.263,91.13,0,167.64,181.03,98.43,58.86,0.95,120.683979007,210.639220538
13,231553,8440,41,272.83,3,181.02,91.81,Flat,5793.263,91.13,0,167.64,181.03,98.43,58.86,0.95,62.211395725,226.51112927
14,231554,197,41,197.81,2,180.84,16.97,Flat,240.961,16.87,7.72,20.13,181.02,25.62,11.18,0.8,73.6071760969,240.960686859
15,231555,74,42,215.41,20,181.05,34.36,Pitched,1560.947,24.99,0.07,42.82,181.02,40.39,39.48,0.89,66.1634115307,245.084250054
16,231558,6281,42,214.78,27,180.83,33.95,Pitched,2572.056,21.89,0,35.13,180.91,54.71,49.12,0.42,40.1160540156,95.4021390453
17,231560,45,42,188.88,26,180.43,8.45,Pitched,102.962,6.86,2.84,8.51,180.6,14.86,6.93,0.65,43.5757446163,102.961503554
18,231562,121,42,206.51,29,181.32,25.19,Pitched,1749.506,21.44,0.01,27.51,181.3,68.16,57.43,0.25,46.0732313628,121.18031894
19,231563,1779,41,239.77,2,181.35,58.42,Flat,9014.854,28.02,-0.01,60.26,181.36,121.65,116.28,0.17,47.4175099376,121.637067889
20,231564,5160,999,273.7,18,180.77,92.93,Complex,3569.965,50.42,5.64,95.48,180.86,120.24,29.69,0.52,47.5165638212,130.863220625
21,231565,9620,41,274.4,3,181.13,93.27,Flat,2821.705,79.75,-2.39,93.55,181.13,56.04,50.35,1.1,46.0194414026,132.350143274
22,231567,211,42,262.7,30,180.97,81.73,Pitched,13281.396,46.53,0,107.24,181.06,121.21,110.02,0.8,51.0892797291,152.283065176
