,BLDGID,MEAN_AVGHT,Lat,Lon,Building,Property Name,Primary Property Type,Year Built,# of Buildings,ENERGY STAR Score
0,1,1.74,41.867863,-87.628662,"(41.867863, -87.628662)",201 East Chestnut Condominium Association,Multifamily Housing,1967,1,60.0
1,2,2.17,41.867859,-87.62982199999999,"(41.867859, -87.62982199999999)",#1976 Lincoln Park,Retail Store,2003,1,29.0
2,4,2.97,41.867859,-87.62982199999999,"(41.867859, -87.62982199999999)",#1976 Lincoln Park,Retail Store,2003,1,29.0
3,5,3.03,41.867863,-87.628662,"(41.867863, -87.628662)",201 East Chestnut Condominium Association,Multifamily Housing,1967,1,60.0
4,10,3.73,41.86787,-87.62640400000001,"(41.86787, -87.62640400000001)",The Buckingham Condominium Association,Multifamily Housing,1981,1,13.0
5,11,8.94,41.867859,-87.62982199999999,"(41.867859, -87.62982199999999)",#1976 Lincoln Park,Retail Store,2003,1,29.0
6,12,8.66,41.867863,-87.628662,"(41.867863, -87.628662)",201 East Chestnut Condominium Association,Multifamily Housing,1967,1,60.0
7,14,17.77,41.86787,-87.62640400000001,"(41.86787, -87.62640400000001)",The Buckingham Condominium Association,Multifamily Housing,1981,1,13.0
8,15,8.31,41.867878000000005,-87.625244,"(41.867878000000005, -87.625244)",Lake Shore Condominium Assn.,Multifamily Housing,1961,1,
9,17,9.03,41.867859,-87.62982199999999,"(41.867859, -87.62982199999999)",#1976 Lincoln Park,Retail Store,2003,1,29.0
10,18,8.72,41.867863,-87.628662,"(41.867863, -87.628662)",201 East Chestnut Condominium Association,Multifamily Housing,1967,1,60.0
11,19,12.03,41.867022999999996,-87.62640400000001,"(41.867022999999996, -87.62640400000001)",LEARN Charter School Herro Family Campus,K-12 School,1908,1,40.0
12,20,92.27,41.867878000000005,-87.625244,"(41.867878000000005, -87.625244)",Lake Shore Condominium Assn.,Multifamily Housing,1961,1,
13,21,9.1,41.867859,-87.62982199999999,"(41.867859, -87.62982199999999)",#1976 Lincoln Park,Retail Store,2003,1,29.0
14,22,8.72,41.867863,-87.628662,"(41.867863, -87.628662)",201 East Chestnut Condominium Association,Multifamily Housing,1967,1,60.0
15,23,7.6,41.86787,-87.627533,"(41.86787, -87.627533)","Woodbridge Nursing Pavilion, Ltd",Senior Care Community,1975,1,51.0
16,24,8.73,41.867859,-87.62982199999999,"(41.867859, -87.62982199999999)",#1976 Lincoln Park,Retail Store,2003,1,29.0
17,25,8.8,41.867863,-87.628662,"(41.867863, -87.628662)",201 East Chestnut Condominium Association,Multifamily Housing,1967,1,60.0
18,29,3.16,41.867859,-87.62982199999999,"(41.867859, -87.62982199999999)",#1976 Lincoln Park,Retail Store,2003,1,29.0
19,30,3.2,41.867863,-87.628662,"(41.867863, -87.628662)",201 East Chestnut Condominium Association,Multifamily Housing,1967,1,60.0
20,31,6.94,41.86787,-87.627533,"(41.86787, -87.627533)","Woodbridge Nursing Pavilion, Ltd",Senior Care Community,1975,1,51.0
21,32,15.57,41.867863,-87.628662,"(41.867863, -87.628662)",201 East Chestnut Condominium Association,Multifamily Housing,1967,1,60.0
22,33,3.1,41.86871,-87.62982199999999,"(41.86871, -87.62982199999999)",Boone Elemen-CPS,K-12 School,1938,1,55.0
23,34,2.99,41.86871,-87.628693,"(41.86871, -87.628693)",PershingWest-CPS,K-12 School,1990,1,68.0
24,35,9.01,41.86871,-87.62982199999999,"(41.86871, -87.62982199999999)",Boone Elemen-CPS,K-12 School,1938,1,55.0
25,36,8.42,41.86871,-87.628693,"(41.86871, -87.628693)",PershingWest-CPS,K-12 School,1990,1,68.0
26,37,22.36,41.86787,-87.62640400000001,"(41.86787, -87.62640400000001)",The Buckingham Condominium Association,Multifamily Housing,1981,1,13.0
27,38,8.9,41.86871,-87.62982199999999,"(41.86871, -87.62982199999999)",Boone Elemen-CPS,K-12 School,1938,1,55.0
28,39,8.79,41.86871,-87.628693,"(41.86871, -87.628693)",PershingWest-CPS,K-12 School,1990,1,68.0
29,41,33.28,41.868675,-87.635529,"(41.868675, -87.635529)",Providence St Mel School,K-12 School,1929,1,83.0
30,45,6.86,41.868717,-87.627563,"(41.868717, -87.627563)",SoutHighOccu-CPS,K-12 School,1988,1,25.0
31,46,12.51,41.867851,-87.630951,"(41.867851, -87.630951)",Misericordia Home,Multifamily Housing,1950,31,23.0
32,48,7.48,41.868717,-87.627563,"(41.868717, -87.627563)",SoutHighOccu-CPS,K-12 School,1988,1,25.0
33,49,15.46,41.86871,-87.628693,"(41.86871, -87.628693)",PershingWest-CPS,K-12 School,1990,1,68.0
34,50,3.68,41.868671,-87.636658,"(41.868671, -87.636658)",71215A STATE STREET,Retail Store,1879,1,87.0
35,51,5.42,41.86871,-87.62982199999999,"(41.86871, -87.62982199999999)",Boone Elemen-CPS,K-12 School,1938,1,55.0
36,52,25.01,41.86787,-87.627533,"(41.86787, -87.627533)","Woodbridge Nursing Pavilion, Ltd",Senior Care Community,1975,1,51.0
37,53,5.39,41.86871,-87.62982199999999,"(41.86871, -87.62982199999999)",Boone Elemen-CPS,K-12 School,1938,1,55.0
38,55,31.43,41.868725,-87.62640400000001,"(41.868725, -87.62640400000001)",101 Grand,Office,1872,1,35.0
39,56,36.98,41.867878000000005,-87.625244,"(41.867878000000005, -87.625244)",Lake Shore Condominium Assn.,Multifamily Housing,1961,1,
40,57,4.88,41.869514,-87.636688,"(41.869514, -87.636688)",Pullman Elem-CPS,K-12 School,1909,1,36.0
41,59,3.34,41.86953,-87.63324,"(41.86953, -87.63324)",Tribune Tower,Office,1925,1,77.0
42,61,11.49,41.868671,-87.636658,"(41.868671, -87.636658)",71215A STATE STREET,Retail Store,1879,1,87.0
43,64,3.66,41.869514,-87.636688,"(41.869514, -87.636688)",Pullman Elem-CPS,K-12 School,1909,1,36.0
44,68,12.7,41.869568,-87.627563,"(41.869568, -87.627563)",SouthLoopBrn-CPS,K-12 School,2005,1,100.0
45,70,19.58,41.867798,-87.638947,"(41.867798, -87.638947)",The Sexton Condominium Association,Multifamily Housing,1915,1,88.0
46,71,23.84,41.869578999999995,-87.625275,"(41.869578999999995, -87.625275)",Sheraton Chicago Hotel & Towers,Hotel,1990,1,35.0
47,72,7.37,41.869568,-87.627563,"(41.869568, -87.627563)",SouthLoopBrn-CPS,K-12 School,2005,1,100.0
48,74,24.99,41.869578999999995,-87.625275,"(41.869578999999995, -87.625275)",Sheraton Chicago Hotel & Towers,Hotel,1990,1,35.0
49,75,5.34,41.86956,-87.62982199999999,"(41.86956, -87.62982199999999)",Piper's Alley,Performing Arts,1977,1,
50,76,5.21,41.86956,-87.62982199999999,"(41.86956, -87.62982199999999)",Piper's Alley,Performing Arts,1977,1,
51,77,7.44,41.869568,-87.627563,"(41.869568, -87.627563)",SouthLoopBrn-CPS,K-12 School,2005,1,100.0
52,78,15.6,41.869564000000004,-87.628693,"(41.869564000000004, -87.628693)",Hotel Indigo Chicago Downtown Gold Coast,Hotel,1926,1,29.0
53,79,22.16,41.867832,-87.63324,"(41.867832, -87.63324)",180 North LaSalle,Office,1972,1,80.0
54,82,52.07,41.870407,-87.628723,"(41.870407, -87.628723)",CityView Condominium Association,Multifamily Housing,1991,1,60.0
55,84,5.08,41.869568,-87.627563,"(41.869568, -87.627563)",SouthLoopBrn-CPS,K-12 School,2005,1,100.0
56,85,5.7,41.86956,-87.62982199999999,"(41.86956, -87.62982199999999)",Piper's Alley,Performing Arts,1977,1,
57,86,3.28,41.870365,-87.637817,"(41.870365, -87.637817)",Shields Main-CPS,K-12 School,1902,1,70.0
58,87,5.49,41.86956,-87.62982199999999,"(41.86956, -87.62982199999999)",Piper's Alley,Performing Arts,1977,1,
59,88,16.52,41.869568,-87.62640400000001,"(41.869568, -87.62640400000001)",03441-Ashland & Wellington,Supermarket/Grocery Store,1982,1,62.0
60,91,75.18,41.870434,-87.625275,"(41.870434, -87.625275)",Pullman Park,Retail Store,2013,2,
61,92,10.73,41.869549,-87.630981,"(41.869549, -87.630981)",Vision On State Condominium Association,Multifamily Housing,2007,1,19.0
62,98,3.91,41.870365,-87.637817,"(41.870365, -87.637817)",Shields Main-CPS,K-12 School,1902,1,70.0
63,99,3.66,41.870373,-87.636688,"(41.870373, -87.636688)",850 Dewitt Place Condominiums,Multifamily Housing,1957,1,75.0
64,100,63.84,41.870391999999995,-87.630981,"(41.870391999999995, -87.630981)",Juvenile Temporary Detention Center Campus,Mixed Use Property,1973,3,
65,101,46.53,41.870434,-87.625275,"(41.870434, -87.625275)",Pullman Park,Retail Store,2013,2,
66,103,7.11,41.870365,-87.637817,"(41.870365, -87.637817)",Shields Main-CPS,K-12 School,1902,1,70.0
67,104,41.21,41.870407,-87.628723,"(41.870407, -87.628723)",CityView Condominium Association,Multifamily Housing,1991,1,60.0
68,105,44.19,41.870422,-87.626434,"(41.870422, -87.626434)",916 S Wabash,College/University,1930,1,
69,109,10.94,41.87122,-87.635559,"(41.87122, -87.635559)",640 N LaSalle,Office,1969,1,68.0
70,110,5.42,41.870399,-87.629852,"(41.870399, -87.629852)",HurleyEdward-CPS,K-12 School,1954,1,59.0
71,113,45.35,41.870419,-87.627563,"(41.870419, -87.627563)",8507-Jefferson Park (Elston),Supermarket/Grocery Store,2013,1,51.0
72,114,52.12,41.871277,-87.626434,"(41.871277, -87.626434)",6560 W Fullerton at Bricktown Square,Strip Mall,1987,1,
73,115,14.39,41.871277,-87.62530500000001,"(41.871277, -87.62530500000001)",Irving Park-CPS,K-12 School,1906,1,17.0
