,BLDGID,MEAN_AVGHT,Lat,Lon,OBJECTID,ID,SSR,TOPELEV_M,MED_SLOPE,BASEELEV_M,HGT_AGL,ROOFTYPE,AREA_M2,AVGHT_M,MINHT_M,MAXHT_M,BASE_M,LEN,WID,ORIENT8,Shape_Leng,Shape_Area,geometry
0,1,1.74,41.867863,-87.628662,631,325400.0,41.0,184.04,15.0,180.58,3.45,Flat,142.601,1.74,0.01,3.6,182.23,24.51,5.82,0.0,60.6632000003,142.601428197,"POLYGON ((-87.62864626462095 41.86755635129513, -87.62894164209627 41.867554734074, -87.6289421556085 41.86760712390969, -87.62864677789206 41.86760874113379, -87.62864626462095 41.86755635129513))"
1,2,2.17,41.867859,-87.62982199999999,784,331542.0,999.0,183.93,18.0,180.55,3.38,Complex,156.455,2.17,0.0,6.04,181.38,25.97,6.02,0.0,63.9871999975,156.454831803,"POLYGON ((-87.62906431728717 41.86755593380816, -87.62937721765813 41.86755421948445, -87.62937774987401 41.86760847993084, -87.62906484923849 41.86761019425779, -87.62906431728717 41.86755593380816))"
2,4,2.97,41.867859,-87.62982199999999,214,237396.0,42.0,183.89,18.0,180.67,3.22,Pitched,125.486,2.97,0.01,5.49,180.79,20.62,6.09,0.0,53.4138000011,125.485715194,"POLYGON ((-87.62910586488213 41.86766288553212, -87.62935433823412 41.8676615241715, -87.62935487576817 41.86771632859955, -87.62910640220397 41.86771768996277, -87.62910586488213 41.86766288553212))"
3,5,3.03,41.867863,-87.628662,198,237231.0,42.0,183.86,18.0,180.63,3.23,Pitched,144.0,3.03,0.0,5.76,180.76,23.66,6.09,0.0,59.498999998,144.000240414,"POLYGON ((-87.62868226772187 41.86766825034347, -87.62896740159628 41.86766668912975, -87.62896793879995 41.86772149356181, -87.62868280468204 41.86772305477852, -87.62868226772187 41.86766825034347))"
4,10,3.73,41.86787,-87.62640400000001,152,235668.0,41.0,185.08,2.0,181.26,3.82,Flat,141.141,3.73,2.34,4.58,181.34,21.97,6.42,0.0,56.7941999994,141.141199402,"POLYGON ((-87.62649016141043 41.86761321137686, -87.62656755372292 41.86761278917267, -87.62656948622936 41.8678106944068, -87.62649209367819 41.86781111661391, -87.62649016141043 41.86761321137686))"
5,11,8.94,41.867859,-87.62982199999999,24,231569.0,42.0,189.46,26.0,180.71,8.75,Pitched,188.573,8.94,3.12,11.09,180.88,22.31,8.45,0.0,61.5274,188.572944364,"POLYGON ((-87.62907815793135 41.86774524881361, -87.62934699815902 41.86774377590549, -87.62934774473429 41.86781989381599, -87.62907890418775 41.86782136672803, -87.62907815793135 41.86774524881361))"
6,12,8.66,41.867863,-87.628662,203,237237.0,42.0,189.39,38.0,180.84,8.55,Pitched,188.573,8.66,4.76,11.1,180.9,22.31,8.45,0.0,61.5274,188.572944364,"POLYGON ((-87.62869526350889 41.86774734550953, -87.62896410376511 41.86774587349762, -87.62896484988624 41.86782199141369, -87.62869600931116 41.86782346342951, -87.62869526350889 41.86774734550953))"
7,14,17.77,41.86787,-87.62640400000001,1002,334007.0,41.0,188.36,2.0,180.77,7.59,Flat,853.015,17.77,0.0,31.11,181.35,32.0,29.75,0.0,79.7507999986,369.358245278,"POLYGON ((-87.62609696078738 41.86772155590001, -87.62640112415137 41.86771989731483, -87.62640241059911 41.86785167532835, -87.62609824661057 41.86785333392115, -87.62609696078738 41.86772155590001))"
8,14,17.77,41.86787,-87.62640400000001,1013,334024.0,41.0,208.46,12.0,181.04,27.42,Flat,853.015,17.77,0.0,31.11,181.35,32.0,29.75,0.0,94.2289999984,483.657245626,"POLYGON ((-87.62640112415137 41.86771989731483, -87.62609696078738 41.86772155590001, -87.62601554876336 41.86772199969839, -87.62601422072891 41.86758587701494, -87.62639979529906 41.86758377464137, -87.62640112415137 41.86771989731483))"
9,15,8.31,41.867878000000005,-87.625244,659,328998.0,999.0,192.42,27.0,181.0,11.42,Complex,1329.948,8.31,0.0,13.63,181.1,43.36,30.88,0.0,27.8760000002,48.5663158406,"POLYGON ((-87.62512254002993 41.8676885804623, -87.62520620399782 41.86768812503782, -87.62520681778439 41.86775111897284, -87.62512315373438 41.86775157439831, -87.62512254002993 41.8676885804623))"
10,15,8.31,41.867878000000005,-87.625244,679,329787.0,41.0,187.59,13.0,181.0,6.59,Flat,1329.948,8.31,0.0,13.63,181.1,43.36,30.88,0.0,78.2612964922,369.689705034,"POLYGON ((-87.62512315373438 41.86775157439831, -87.62520681778439 41.86775111897284, -87.62543045728944 41.86774990129138, -87.62543176104931 41.86788365982236, -87.6251680119894 41.86788509585161, -87.62512401556845 41.8678400373586, -87.62512315373438 41.86775157439831))"
11,15,8.31,41.867878000000005,-87.625244,1262,335157.0,41.0,194.61,2.0,181.01,13.6,Flat,1329.948,8.31,0.0,13.63,181.1,43.36,30.88,0.0,23.7833999973,34.0426796509,"POLYGON ((-87.62547138395819 41.86782379999903, -87.62555681931465 41.86782333467158, -87.6255572408684 41.8678665750002, -87.62547180545438 41.86786704032835, -87.62547138395819 41.86782379999903))"
12,15,8.31,41.867878000000005,-87.625244,2447,366302.0,41.0,189.85,13.0,180.76,9.09,Flat,1329.948,8.31,0.0,13.63,181.1,43.36,30.88,0.0,172.269199997,877.648956138,"POLYGON ((-87.62520681778439 41.86775111897284, -87.62520620399782 41.86768812503782, -87.62512254002993 41.8676885804623, -87.62512174743073 41.86760722350109, -87.62564423807235 41.86760437833153, -87.62564694975961 41.86788248773995, -87.62544668508015 41.86788357854768, -87.62543176104931 41.86788365982236, -87.62543045728944 41.86774990129138, -87.62520681778439 41.86775111897284), (-87.62547138395819 41.86782379999903, -87.62547180545438 41.86786704032835, -87.6255572408684 41.8678665750002, -87.62555681931465 41.86782333467158, -87.62547138395819 41.86782379999903))"
13,17,9.03,41.867859,-87.62982199999999,247,237751.0,42.0,189.51,22.0,180.81,8.7,Pitched,188.573,9.03,4.32,11.06,180.89,22.31,8.45,0.0,61.5274000019,188.572944372,"POLYGON ((-87.62908324542906 41.8678487461844, -87.62935208609008 41.86784727326143, -87.6293528326741 41.86792339117047, -87.62908399169422 41.86792486409736, -87.62908324542906 41.8678487461844))"
14,18,8.72,41.867863,-87.628662,10,231550.0,42.0,189.39,32.0,180.8,8.59,Pitched,188.573,8.72,3.11,11.07,180.89,22.31,8.45,0.0,61.5274,188.572944364,"POLYGON ((-87.62867600069642 41.86786011090846, -87.62894484142608 41.86785863893844, -87.62894558752731 41.86793475685329, -87.6286767464788 41.86793622882723, -87.62867600069642 41.86786011090846))"
15,19,12.03,41.867022999999996,-87.62640400000001,2112,343665.0,41.0,193.63,2.0,181.0,12.63,Flat,1493.0,12.03,0.85,15.62,181.23,129.21,13.59,1.38,278.447535425,1493.00022226,"POLYGON ((-87.62655431813755 41.86681027653727, -87.62670191619773 41.86680849847281, -87.62672696534577 41.86797056716681, -87.62663107599046 41.86797109040543, -87.62657145391879 41.86760535528445, -87.62655431813755 41.86681027653727))"
16,20,92.27,41.867878000000005,-87.625244,654,328933.0,42.0,323.89,34.0,180.68,143.21,Pitched,1862.045,92.27,7.75,154.17,180.9,51.79,45.11,0.68,107.276230196,643.665892169,"POLYGON ((-87.62436890639538 41.86764996168613, -87.62479672241345 41.86764298571953, -87.62480148543681 41.86780618673869, -87.62437366832276 41.86781316182962, -87.62436890639538 41.86764996168613))"
17,20,92.27,41.867878000000005,-87.625244,686,329794.0,42.0,292.53,0.0,180.81,111.72,Pitched,1862.045,92.27,7.75,154.17,180.9,51.79,45.11,0.68,50.3361198326,70.2677773266,"POLYGON ((-87.62484342516663 41.86761544278047, -87.62488195519826 41.86761481432671, -87.62488291381108 41.86764767138177, -87.62488721882558 41.86779512376867, -87.62488773040126 41.86781263834214, -87.62484920025092 41.86781326679863, -87.62484342516663 41.86761544278047))"
18,20,92.27,41.867878000000005,-87.625244,998,333980.0,42.0,206.62,44.0,180.79,25.83,Pitched,1862.045,92.27,7.75,154.17,180.9,51.79,45.11,0.68,11.6712323341,7.82820717152,"POLYGON ((-87.62436812537722 41.86762319316969, -87.62436867480204 41.86764201172748, -87.62432355218817 41.86764274700153, -87.62432300277659 41.86762392844342, -87.62436812537722 41.86762319316969))"
19,20,92.27,41.867878000000005,-87.625244,1017,334028.0,42.0,214.16,29.0,180.81,33.35,Pitched,1862.045,92.27,7.75,154.17,180.9,51.79,45.11,0.68,25.3481542902,38.1703896631,"POLYGON ((-87.62438390697702 41.86797946566437, -87.62438488623614 41.86793509456542, -87.6244782192188 41.86793624435698, -87.62447724002422 41.86798061545628, -87.62438390697702 41.86797946566437))"
20,20,92.27,41.867878000000005,-87.625244,1018,334029.0,42.0,240.76,0.0,180.79,59.97,Pitched,1862.045,92.27,7.75,154.17,180.9,51.79,45.11,0.68,37.5191643341,39.0401026994,"POLYGON ((-87.62488291381108 41.86764767138177, -87.62491163334811 41.86764720347806, -87.62491593842856 41.86779465586344, -87.62488721882558 41.86779512376867, -87.62488291381108 41.86764767138177))"
21,20,92.27,41.867878000000005,-87.625244,1268,335163.0,41.0,206.4,14.0,180.65,25.76,Flat,1862.045,92.27,7.75,154.17,180.9,51.79,45.11,0.68,170.485505411,305.575465271,"POLYGON ((-87.62432893577117 41.86782724849125, -87.62437405851466 41.86782651321423, -87.624374693232 41.86784827653656, -87.62480251057995 41.86784130144027, -87.62480210557305 41.86782742774251, -87.6248495908838 41.86782665330569, -87.62484920025092 41.86781326679863, -87.62488773040126 41.86781263834214, -87.62488721882558 41.86779512376867, -87.62491593842856 41.86779465586344, -87.62491163334811 41.86764720347806, -87.62488291381108 41.86764767138177, -87.62488195519826 41.86761481432671, -87.62494600727142 41.86761377047301, -87.62495355720282 41.86787242316909, -87.62449670558767 41.86787987285046, -87.62435829999805 41.86788212951149, -87.62435762582527 41.86785903519623, -87.62432987604473 41.8678594877822, -87.62432893577117 41.86782724849125))"
22,20,92.27,41.867878000000005,-87.625244,2407,366055.0,41.0,211.03,10.0,180.73,30.3,Flat,1862.045,92.27,7.75,154.17,180.9,51.79,45.11,0.68,118.029189025,344.220758606,"POLYGON ((-87.62435829999805 41.86788212951149, -87.62449670558767 41.86787987285046, -87.62449802710771 41.86792515193636, -87.62453185626219 41.86792460050054, -87.62469746236053 41.86792190025449, -87.62469998150472 41.86800824300364, -87.62452822233733 41.86801104336435, -87.62452866335929 41.86802614719792, -87.62433466997656 41.86802375595587, -87.62433113233695 41.86790253353452, -87.62433055020752 41.86788258209768, -87.62435829999805 41.86788212951149), (-87.62438390697702 41.86797946566437, -87.62447724002422 41.86798061545628, -87.6244782192188 41.86793624435698, -87.62438488623614 41.86793509456542, -87.62438390697702 41.86797946566437))"
23,20,92.27,41.867878000000005,-87.625244,2448,366304.0,42.0,305.35,45.0,180.67,124.68,Pitched,1862.045,92.27,7.75,154.17,180.9,51.79,45.11,0.68,243.672437187,413.276654043,"POLYGON ((-87.62432893577117 41.86782724849125, -87.62432355218817 41.86764274700153, -87.62436867480204 41.86764201172748, -87.62436812537722 41.86762319316969, -87.62479594121697 41.86761621720715, -87.62484342516663 41.86761544278047, -87.62484920025092 41.86781326679863, -87.6248495908838 41.86782665330569, -87.62480210557305 41.86782742774251, -87.62480251057995 41.86784130144027, -87.624374693232 41.86784827653656, -87.62437405851466 41.86782651321423, -87.62432893577117 41.86782724849125), (-87.62436890639538 41.86764996168613, -87.62437366832276 41.86781316182962, -87.62480148543681 41.86780618673869, -87.62479672241345 41.86764298571953, -87.62436890639538 41.86764996168613))"
24,21,9.1,41.867859,-87.62982199999999,186,236101.0,42.0,189.48,26.0,180.81,8.67,Pitched,188.571,9.1,6.64,11.08,180.88,22.31,8.45,0.0,61.5271999985,188.570713124,"POLYGON ((-87.62908432005143 41.86795835594273, -87.62935316117162 41.86795688301412, -87.62935390775097 41.86803300002106, -87.6290850663119 41.86803447295357, -87.62908432005143 41.86795835594273))"
25,22,8.72,41.867863,-87.628662,248,237752.0,42.0,189.36,38.0,180.78,8.58,Pitched,188.571,8.72,5.34,11.13,180.87,22.31,8.45,0.0,61.5272000004,188.570713158,"POLYGON ((-87.62866482457076 41.8679667425281, -87.62893366574775 41.8679652705812, -87.62893441182969 41.86804138759418, -87.62866557033385 41.86804285954499, -87.62866482457076 41.8679667425281))"
26,23,7.6,41.86787,-87.627533,136,235597.0,42.0,188.8,30.0,180.41,8.39,Pitched,92.304,7.6,2.22,8.48,180.49,15.4,6.0,0.97,42.7895587232,92.3038811579,"POLYGON ((-87.62763733601186 41.86801723974585, -87.62770965651569 41.86801590057457, -87.62771399429185 41.86815457911949, -87.62764193144862 41.86815591328283, -87.62763733601186 41.86801723974585))"
27,24,8.73,41.867859,-87.62982199999999,187,236102.0,42.0,189.58,33.0,180.78,8.8,Pitched,188.573,8.73,2.88,11.13,180.92,22.31,8.45,0.0,61.5273999963,188.572944322,"POLYGON ((-87.62908138176095 41.86807407628721, -87.62935022336613 41.86807260336219, -87.62935096995383 41.86814872126826, -87.62908212802981 41.86815019419718, -87.62908138176095 41.86807407628721))"
28,25,8.8,41.867863,-87.628662,11,231551.0,42.0,189.54,25.0,180.76,8.78,Pitched,188.573,8.8,2.9,11.07,180.91,22.31,8.45,0.0,61.5273999982,188.57294433,"POLYGON ((-87.62867404610338 41.86807630679197, -87.62894288773894 41.86807483482038, -87.62894363384351 41.86815095273238, -87.6286747918891 41.86815242470787, -87.62867404610338 41.86807630679197))"
