BLDGID,Area,Cool_Elec,Heat_Elec,IN_light_Elec,OUT_light_Elec,HVAC_Intensity,Light_Intensity,Heat_rejection,HVAC_Elec_Intensity,HVAC_Ngas_Intensity,Total_Elec,Total_Elec_Intensity,Heat_NatG,Total_NatG,Total_NatG_Intensity
1,285.41,10.22,78.4,26.59,106.87,320.6,467.63,0,320.6,158.13,259.35,908.69,4.86,45.13,158.13
10,282.49,12.66,167.71,26.32,106.87,663.98,471.5,0,663.98,143.45,354.79,1255.94,0.25,40.52,143.45
100,42305.17,509.59,0,4026.64,2604.58,28.3,156.75,121.61,28.3,245.04,13343.06,315.4,10279.04,10366.43,245.04
101,9876.54,147.8,0,940.06,2604.58,35.57,358.9,63.66,35.57,371.21,5183.45,524.82,3578.87,3666.26,371.21
10102,318953.75,2976.99,0,30358.27,2604.58,20.93,103.35,690.9,20.93,170.18,81218.16,254.64,54191.07,54278.46,170.18
10105,140599.95,1388.86,0,13382.41,2604.58,22.64,113.71,327.32,22.64,198.25,37497.9,266.7,27786.59,27873.98,198.25
10108,57755.42,546.58,0,5497.21,2604.58,21.46,140.28,129.71,21.46,183.93,16869.81,292.09,10535.48,10622.87,183.93
10119,46754.14,581.69,0,4450.1,2604.58,29.27,150.89,136.67,29.27,259.45,14518.16,310.52,12043.09,12130.47,259.45
10121,129451.4,1338,0,12321.29,2604.58,23.97,115.3,315.65,23.97,219.07,34904.08,269.63,28271.25,28358.64,219.07
10141,99586.96,1053.93,0,9478.76,2604.58,24.49,121.33,247.54,24.49,217.86,27504.3,276.18,21608.91,21696.3,217.86
10151,25331.57,288.66,0,2411.08,2604.58,26.44,198,67.96,26.44,236.97,8987.59,354.8,5915.48,6002.86,236.97
10153,83576.04,828.81,0,7954.83,2604.58,22.61,126.35,194.96,22.61,193.1,23343.77,279.31,16050.91,16138.29,193.1
10157,283570.83,2661.24,0,26990.5,2604.58,21.34,104.37,622.33,21.34,192.54,72611.49,256.06,54509.94,54597.33,192.54
10182,62671.56,647.77,0,5965.13,2604.58,23.57,136.74,152.29,23.57,189.69,18216.7,290.67,11800.52,11887.91,189.69
10183,105737.46,1085.03,0,10064.18,2604.58,23.65,119.81,255.13,23.65,206.77,28953.65,273.83,21775.59,21862.98,206.77
10231,200254.52,1793.78,0,19060.38,2604.58,20.07,108.19,418.48,20.07,168.38,51789.75,258.62,33631.44,33718.83,168.38
10250,40985.16,446.31,0,3901,2604.58,25.56,158.73,107.14,25.56,244.31,12896.09,314.65,9925.83,10013.21,244.31
10279,110945.16,1093.13,0,10559.85,2604.58,22.48,118.66,257.52,22.48,190.23,30121.29,271.5,21017.31,21104.69,190.23
103,2087.29,74.62,781.88,194.48,106.87,434.26,144.37,0,434.26,24.43,1459.2,699.09,10.68,51,24.43
104,20472.32,230.3,0,1948.57,2604.58,28.66,222.41,102.79,28.66,253.57,7808.67,381.43,5103.82,5191.21,253.57
105,49959.61,514.87,0,4755.2,2604.58,23.66,147.31,122.12,23.66,198.47,15054.6,301.34,9828.13,9915.52,198.47
10858,3192.38,116.03,1263.58,297.44,106.87,456.17,126.65,0,456.17,18.46,2245.14,703.28,13.6,58.92,18.46
109,2827.05,80.27,695.98,263.4,106.87,290.84,130.98,0,290.84,32.85,1533.03,542.27,49.85,92.88,32.85
10951,56931.09,648.78,0,5418.75,2604.58,26.54,140.93,152.66,26.54,234.18,16955.46,297.82,13245.01,13332.39,234.18
10952,190733.77,1792.38,0,18154.19,2604.58,21.33,108.84,421.1,21.33,187.51,49690.93,260.53,35677.25,35764.63,187.51
10953,127012.85,1202.15,0,12089.18,2604.58,21.52,115.69,283.43,21.52,188.89,33984.24,267.57,23904.53,23991.92,188.89
10954,121372.19,1258.85,0,11552.3,2604.58,24.04,116.64,296.78,24.04,218.69,32896.9,271.04,26455.52,26542.9,218.69
10955,69136.61,683,0,6580.48,2604.58,22.59,132.85,161.9,22.59,195.41,19759.55,285.8,13422.65,13510.03,195.41
10957,86718.57,961.99,0,8253.94,2604.58,25.78,125.22,226,25.78,230.05,24398.27,281.35,19862.48,19949.86,230.05
10967,195468.37,1882.9,0,18604.83,2604.58,22.05,108.51,442.92,22.05,199.88,51001.05,260.92,38983.39,39070.78,199.88
11,754.84,35.97,282.08,70.33,106.87,435.71,234.76,0,435.71,60.93,597.03,790.93,5.72,45.99,60.93
110,5710.31,136.58,1197.98,532.04,106.87,246.12,111.89,0,246.12,38.62,2732.18,478.46,155.04,220.54,38.62
11140,280.99,15.09,117.82,26.18,106.87,489.04,473.53,0,489.04,148.51,304.32,1083.03,1.46,41.73,148.51
113,80254.33,818.26,0,7638.67,2604.58,23.2,127.63,192.31,23.2,184.77,22567.03,281.19,14741.09,14828.48,184.77
114,43059.35,450.27,0,4098.42,2604.58,24.11,155.67,107.3,24.11,205.5,13354.23,310.14,8761.48,8848.87,205.5
11484,3221.58,113.76,1161.48,300.16,106.87,418.76,126.35,0,418.76,19.91,2144.17,665.56,18.61,64.14,19.91
115,18515.21,330.34,1623.74,1725.09,106.87,112.78,98.94,0,112.78,66.48,6150.44,332.18,1053.56,1230.96,66.48
11550,124467.94,1263.34,0,11846.96,2604.58,23.44,116.11,297.84,23.44,210.06,33594.2,269.9,26058.53,26145.92,210.06
11581,96930.51,942.27,0,9225.92,2604.58,22.15,122.05,222.01,22.15,181.85,26612.79,274.56,17539.11,17626.49,181.85
11586,98999.61,968.43,0,9422.86,2604.58,22.26,121.49,227.54,22.26,183.08,27137.02,274.11,18037.29,18124.68,183.08
116,42354.27,726.01,3527.61,3946.2,106.87,107.65,95.69,0,107.65,66.91,13714.28,323.8,2446.81,2833.94,66.91
11606,224363.03,2024.75,0,21355.05,2604.58,20.32,106.79,476.98,20.32,173.07,57765.52,257.46,38743.08,38830.46,173.07
11608,99566.99,1017.86,0,9476.86,2604.58,23.59,121.34,239.37,23.59,210.01,27409.08,275.28,20822.82,20910.2,210.01
11619,85582.76,807.4,0,8145.83,2604.58,21.47,125.61,190.89,21.47,189.16,23744.18,277.44,16101.85,16189.23,189.16
11632,141825.49,1327.21,0,13499.06,2604.58,21.22,113.55,312.81,21.22,184.7,37601.06,265.12,26107.76,26195.15,184.7
11634,71381,783.74,0,6794.1,2604.58,25.52,131.67,184.76,25.52,227.81,20525.32,287.55,16174.07,16261.46,227.81
