OBJECTID,ID,Bldg_ID,SSR,TOPELEV_M,MED_SLOPE,BASEELEV_M,HGT_AGL,ROOFTYPE,F_AREA_M2,AVGHT_M,MINHT_M,MAXHT_M,BASE_M,LEN,WID,ORIENT8,Shape_Leng,Shape_Area
1,231350,11677,41,271.5,1,180.5,91,Flat,7171.177,86.31,-0.03,177.07,180.95,121.66,65.15,-1.7,135.3857119,964.9484405
2,231541,419,999,210.79,15,180.8,29.99,Complex,5424.272,31.19,-0.01,55.04,180.92,176.11,30.8,0.89,46.68485161,98.53952146
3,231542,133,41,188.45,6,179.97,8.48,Flat,100.885,8.22,6.04,8.55,180.09,21.09,4.78,0.47,51.74417509,100.8848222
4,231543,11619,41,204.06,4,181.06,23,Flat,5345.009,46.25,0.49,103.76,181.11,99.06,56.15,0.17,42.37958671,107.8087649
5,231545,10231,41,240.89,7,181.14,59.75,Flat,11771.038,50.16,0,85.8,181.19,121.54,100.89,0,55.3686,125.6695349
6,231546,7236,42,207.52,30,180.79,26.73,Pitched,2008.411,88.59,-0.39,161.86,181.04,53.03,37.88,0.95,56.41180444,132.6875659
7,231547,56,41,301.85,14,181.15,120.7,Flat,11605.697,36.98,0,131.47,180.98,131.29,109.82,0.78,50.73003057,144.7235488
8,231548,1580,41,219.06,3,180.81,38.25,Flat,1989.374,36.29,-0.01,57.62,180.85,90.35,22.02,0.43,50.87132752,150.4703982
9,231549,141,41,193.54,7,180.84,12.71,Flat,3338.429,32.22,0,84.48,180.92,86.15,43.55,-0.23,52.30582341,170.3222445
10,231550,18,42,189.39,32,180.8,8.59,Pitched,188.573,8.72,3.11,11.07,180.89,22.31,8.45,0,61.5274,188.5729444
11,231551,25,42,189.54,25,180.76,8.78,Pitched,188.573,8.8,2.9,11.07,180.91,22.31,8.45,0,61.5274,188.5729443
12,231552,8440,42,263.03,30,180.81,82.22,Pitched,5793.263,91.13,0,167.64,181.03,98.43,58.86,0.95,120.683979,210.6392205
13,231553,8440,41,272.83,3,181.02,91.81,Flat,5793.263,91.13,0,167.64,181.03,98.43,58.86,0.95,62.21139573,226.5111293
14,231554,197,41,197.81,2,180.84,16.97,Flat,240.961,16.87,7.72,20.13,181.02,25.62,11.18,0.8,73.6071761,240.9606869
15,231555,74,42,215.41,20,181.05,34.36,Pitched,1560.947,24.99,0.07,42.82,181.02,40.39,39.48,0.89,66.16341153,245.0842501
16,231558,6281,42,214.78,27,180.83,33.95,Pitched,2572.056,21.89,0,35.13,180.91,54.71,49.12,0.42,40.11605402,95.40213905
17,231560,45,42,188.88,26,180.43,8.45,Pitched,102.962,6.86,2.84,8.51,180.6,14.86,6.93,0.65,43.57574462,102.9615036
18,231562,121,42,206.51,29,181.32,25.19,Pitched,1749.506,21.44,0.01,27.51,181.3,68.16,57.43,0.25,46.07323136,121.1803189
19,231563,1779,41,239.77,2,181.35,58.42,Flat,9014.854,28.02,-0.01,60.26,181.36,121.65,116.28,0.17,47.41750994,121.6370679
20,231564,5160,999,273.7,18,180.77,92.93,Complex,3569.965,50.42,5.64,95.48,180.86,120.24,29.69,0.52,47.51656382,130.8632206
21,231565,9620,41,274.4,3,181.13,93.27,Flat,2821.705,79.75,-2.39,93.55,181.13,56.04,50.35,1.1,46.0194414,132.3501433
22,231567,211,42,262.7,30,180.97,81.73,Pitched,13281.396,46.53,0,107.24,181.06,121.21,110.02,0.8,51.08927973,152.2830652
23,231568,2868,41,186.9,14,181.23,5.67,Flat,917.623,6.75,-0.01,13.84,181.56,47.51,25.08,1.1,54.1288746,164.6097152
24,231569,11,42,189.46,26,180.71,8.75,Pitched,188.573,8.94,3.12,11.09,180.88,22.31,8.45,0,61.5274,188.5729444
25,231570,257,42,195.08,33,180.61,14.47,Pitched,846.424,20.9,2.42,37.58,180.78,36.99,30.48,0.49,56.76645485,188.7615377
26,231571,1580,42,222.41,31,180.8,41.61,Pitched,1989.374,36.29,-0.01,57.62,180.85,90.35,22.02,0.43,57.46671252,203.4818766
27,231572,8440,41,199.1,1,180.9,18.2,Flat,5793.263,91.13,0,167.64,181.03,98.43,58.86,0.95,66.41107084,273.6417583
28,231573,8440,42,263.34,0,180.9,82.44,Pitched,5793.263,91.13,0,167.64,181.03,98.43,58.86,0.95,66.46327693,274.0382914
29,231574,91,41,195.89,6,180.89,15,Flat,2844.93,75.18,2.16,92.23,180.95,70.21,40.52,0.89,68.87954249,276.0636699
30,231575,1574,41,235.48,2,180.73,54.75,Flat,1673.62,49.22,3.97,56.11,180.89,56.16,29.8,0.43,70.91549028,311.9077293
31,231576,5187,41,230.42,7,181,49.42,Flat,2612.351,54.32,0.1,82.83,180.97,120.25,21.72,0.52,131.8860503,326.2996316
32,231577,9257,41,297.38,6,180.69,116.69,Flat,3654.4,96.17,0,117.29,180.94,65.94,55.42,1.12,77.17883172,366.3576575
33,231676,7192,41,302.8,5,177.85,124.95,Flat,2218.876,116.57,0,154.35,180.77,52.52,50.44,11.05,161.5245896,1108.709557
34,231737,7192,999,327.4,20,178.01,149.39,Complex,2218.876,116.57,0,154.35,180.77,52.52,50.44,11.05,183.9111939,961.7279288
35,232254,78,42,196.01,46,181.92,14.09,Pitched,1992.609,15.6,0,22.96,182.11,62.1,61.19,0.65,20.94336603,23.74633168
36,232255,10231,41,250.48,8,181.17,69.31,Flat,11771.038,50.16,0,85.8,181.19,121.54,100.89,0,25.2688,39.59632108
37,232256,9620,41,269.92,7,181.12,88.8,Flat,2821.705,79.75,-2.39,93.55,181.13,56.04,50.35,1.1,27.88621906,45.18797584
38,232257,7319,999,224.74,21,180.99,43.75,Complex,5950.014,39.37,0,85.39,181.11,121.66,52.34,0.32,29.9908561,48.15043866
39,232258,668,41,220.98,9,181.04,39.94,Flat,6539.624,30.01,0,54.64,180.9,226.24,30.68,0.47,29.94940212,51.33099851
40,232259,49,42,196.44,29,182.04,14.4,Pitched,1927.37,15.46,0,22.42,182.04,61.2,60.8,0.65,28.74197732,51.55039234
41,232260,10231,42,256.75,19,181.12,75.63,Pitched,11771.038,50.16,0,85.8,181.19,121.54,100.89,0,30.6586,58.744866
42,232261,1574,41,233.26,4,180.58,52.68,Flat,1673.62,49.22,3.97,56.11,180.89,56.16,29.8,0.43,31.59598663,62.15547801
43,232262,122,41,221.57,10,176.01,45.56,Flat,10604.355,26.98,0,57.3,177.87,143.89,109.92,2.08,34.43790199,71.32451917
44,232263,8402,41,332.43,6,181,151.43,Flat,2154.495,158.01,0,179.25,181.14,58.38,36.91,0.53,35.78322102,75.03330257
45,233898,11677,41,271.5,1,180,91.5,Flat,7171.177,86.31,-0.03,177.07,180.95,121.66,65.15,-1.7,158.9221255,1204.518318
