BLDGID,LAT,LON,SSR,TOPELEV_M,MED_SLOPE,BASEELEV_M,HGT_AGL,ROOFTYPE,AREA_M2,AVGHT_M,MINHT_M,MAXHT_M,BASE_M,LEN,WID,ORIENT8,Shape_Leng,Shape_Area
1,41.867863,-87.628662,41,184.04,15,180.58,3.45,Flat,142.601,1.74,0.01,3.6,182.23,24.51,5.82,0.0,60.663200000299994,142.60142819700002
2,41.867859,-87.62982199999999,999,183.93,18,180.55,3.38,Complex,156.455,2.17,0.0,6.04,181.38,25.97,6.02,0.0,63.9871999975,156.454831803
4,41.867859,-87.62982199999999,42,183.89,18,180.67,3.22,Pitched,125.486,2.97,0.01,5.49,180.79,20.62,6.09,0.0,53.41380000109999,125.485715194
5,41.867863,-87.628662,42,183.86,18,180.63,3.23,Pitched,144.0,3.03,0.0,5.76,180.76,23.66,6.09,0.0,59.498999998,144.000240414
10,41.86787,-87.62640400000001,41,185.08,2,181.26,3.82,Flat,141.141,3.73,2.34,4.58,181.34,21.97,6.42,0.0,56.79419999939999,141.141199402
11,41.867859,-87.62982199999999,42,189.46,26,180.71,8.75,Pitched,188.57299999999998,8.94,3.12,11.09,180.88,22.31,8.45,0.0,61.5274,188.57294436400002
12,41.867863,-87.628662,42,189.39,38,180.84,8.55,Pitched,188.57299999999998,8.66,4.76,11.1,180.9,22.31,8.45,0.0,61.5274,188.57294436400002
14,41.86787,-87.62640400000001,41,188.36,2,180.77,7.59,Flat,853.015,17.77,0.0,31.11,181.35,32.0,29.75,0.0,79.7507999986,369.358245278
14,41.86787,-87.62640400000001,41,208.46,12,181.04,27.42,Flat,853.015,17.77,0.0,31.11,181.35,32.0,29.75,0.0,94.2289999984,483.65724562599996
15,41.867878000000005,-87.625244,999,192.42,27,181.0,11.42,Complex,1329.9479999999999,8.31,0.0,13.63,181.1,43.36,30.88,0.0,27.8760000002,48.566315840600005
15,41.867878000000005,-87.625244,41,189.85,13,180.76,9.09,Flat,1329.9479999999999,8.31,0.0,13.63,181.1,43.36,30.88,0.0,172.26919999700002,877.648956138
15,41.867878000000005,-87.625244,41,187.59,13,181.0,6.59,Flat,1329.9479999999999,8.31,0.0,13.63,181.1,43.36,30.88,0.0,78.2612964922,369.68970503400004
15,41.867878000000005,-87.625244,41,194.61,2,181.01,13.6,Flat,1329.9479999999999,8.31,0.0,13.63,181.1,43.36,30.88,0.0,23.783399997300002,34.0426796509
17,41.867859,-87.62982199999999,42,189.51,22,180.81,8.7,Pitched,188.57299999999998,9.03,4.32,11.06,180.89,22.31,8.45,0.0,61.5274000019,188.572944372
18,41.867863,-87.628662,42,189.39,32,180.8,8.59,Pitched,188.57299999999998,8.72,3.11,11.07,180.89,22.31,8.45,0.0,61.5274,188.57294436400002
19,41.867022999999996,-87.62640400000001,41,193.63,2,181.0,12.63,Flat,1493.0,12.03,0.85,15.62,181.23,129.21,13.59,1.38,278.447535425,1493.00022226
20,41.867878000000005,-87.625244,42,214.16,29,180.81,33.35,Pitched,1862.045,92.27,7.75,154.17,180.9,51.79,45.11,0.68,25.3481542902,38.170389663099996
20,41.867878000000005,-87.625244,42,292.53,0,180.81,111.72,Pitched,1862.045,92.27,7.75,154.17,180.9,51.79,45.11,0.68,50.336119832600005,70.2677773266
20,41.867878000000005,-87.625244,42,206.62,44,180.79,25.83,Pitched,1862.045,92.27,7.75,154.17,180.9,51.79,45.11,0.68,11.6712323341,7.82820717152
20,41.867878000000005,-87.625244,42,323.89,34,180.68,143.21,Pitched,1862.045,92.27,7.75,154.17,180.9,51.79,45.11,0.68,107.276230196,643.665892169
20,41.867878000000005,-87.625244,42,305.35,45,180.67,124.68,Pitched,1862.045,92.27,7.75,154.17,180.9,51.79,45.11,0.68,243.672437187,413.276654043
20,41.867878000000005,-87.625244,41,211.03,10,180.73,30.3,Flat,1862.045,92.27,7.75,154.17,180.9,51.79,45.11,0.68,118.029189025,344.220758606
20,41.867878000000005,-87.625244,42,240.76,0,180.79,59.97,Pitched,1862.045,92.27,7.75,154.17,180.9,51.79,45.11,0.68,37.5191643341,39.0401026994
20,41.867878000000005,-87.625244,41,206.4,14,180.65,25.76,Flat,1862.045,92.27,7.75,154.17,180.9,51.79,45.11,0.68,170.485505411,305.575465271
21,41.867859,-87.62982199999999,42,189.48,26,180.81,8.67,Pitched,188.571,9.1,6.64,11.08,180.88,22.31,8.45,0.0,61.5271999985,188.570713124
22,41.867863,-87.628662,42,189.36,38,180.78,8.58,Pitched,188.571,8.72,5.34,11.13,180.87,22.31,8.45,0.0,61.5272000004,188.570713158
23,41.86787,-87.627533,42,188.8,30,180.41,8.39,Pitched,92.304,7.6,2.22,8.48,180.49,15.4,6.0,0.97,42.7895587232,92.30388115790001
24,41.867859,-87.62982199999999,42,189.58,33,180.78,8.8,Pitched,188.57299999999998,8.73,2.88,11.13,180.92,22.31,8.45,0.0,61.5273999963,188.572944322
25,41.867863,-87.628662,42,189.54,25,180.76,8.78,Pitched,188.57299999999998,8.8,2.9,11.07,180.91,22.31,8.45,0.0,61.527399998199996,188.57294433
29,41.867859,-87.62982199999999,999,183.91,16,180.66,3.25,Complex,106.285,3.16,2.66,5.02,180.76,20.96,5.07,0.0,52.0614000019,106.285049835
30,41.867863,-87.628662,999,183.95,17,180.59,3.36,Complex,101.029,3.2,2.76,3.52,180.7,22.99,4.39,0.0,54.7659999989,101.028541356
31,41.86787,-87.627533,42,188.79,26,180.45,8.34,Pitched,107.09200000000001,6.94,1.04,9.25,180.54,15.59,6.87,1.2,44.9231544955,107.092384313
32,41.867863,-87.628662,42,195.85,46,181.86,13.99,Pitched,1919.5639999999999,15.57,2.61,22.2,182.14,61.88,60.51,0.32,22.0492447515,26.4861117247
32,41.867863,-87.628662,42,190.66,19,181.34,9.32,Pitched,1919.5639999999999,15.57,2.61,22.2,182.14,61.88,60.51,0.32,29.1730553736,52.41277848359999
32,41.867863,-87.628662,41,195.87,8,182.36,13.51,Flat,1919.5639999999999,15.57,2.61,22.2,182.14,61.88,60.51,0.32,29.7724638941,55.10500848270001
32,41.867863,-87.628662,42,195.95,28,182.17,13.78,Pitched,1919.5639999999999,15.57,2.61,22.2,182.14,61.88,60.51,0.32,30.1517708267,56.4136833057
32,41.867863,-87.628662,42,193.28,37,181.81,11.47,Pitched,1919.5639999999999,15.57,2.61,22.2,182.14,61.88,60.51,0.32,31.3256888202,61.212497374399994
32,41.867863,-87.628662,999,190.64,18,180.8,9.84,Complex,1919.5639999999999,15.57,2.61,22.2,182.14,61.88,60.51,0.32,28.7940489977,51.1980879557
32,41.867863,-87.628662,41,198.82,2,180.5,18.32,Flat,1919.5639999999999,15.57,2.61,22.2,182.14,61.88,60.51,0.32,252.77534373900002,1460.29834571
32,41.867863,-87.628662,42,193.27,42,180.91,12.36,Pitched,1919.5639999999999,15.57,2.61,22.2,182.14,61.88,60.51,0.32,19.8968101854,22.6790224927
32,41.867863,-87.628662,41,201.38,11,180.65,20.73,Flat,1919.5639999999999,15.57,2.61,22.2,182.14,61.88,60.51,0.32,35.7826583737,73.96562131350001
32,41.867863,-87.628662,42,193.32,26,181.77,11.55,Pitched,1919.5639999999999,15.57,2.61,22.2,182.14,61.88,60.51,0.32,30.946483565,59.7930896484
33,41.86871,-87.62982199999999,999,183.81,17,180.61,3.2,Complex,143.77,3.1,2.45,3.56,180.7,25.02,5.75,0.0,61.5272000004,143.770400192
34,41.86871,-87.628693,41,183.86,15,180.61,3.25,Flat,143.773,2.99,0.56,4.98,180.72,25.02,5.75,0.0,61.5274,143.772901847
35,41.86871,-87.62982199999999,42,189.51,30,180.69,8.82,Pitched,194.285,9.01,3.27,11.14,180.84,22.99,8.45,0.0,62.879399998100006,194.28477227099998
36,41.86871,-87.628693,42,189.51,33,180.71,8.79,Pitched,194.285,8.42,0.0,11.08,180.87,22.99,8.45,0.0,62.8794,194.28477230599998
37,41.86787,-87.62640400000001,42,221.25,42,181.06,40.19,Pitched,1603.4160000000002,22.36,0.72,40.69,181.16,49.3,32.52,0.0,21.9426000006,29.919424702199997
37,41.86787,-87.62640400000001,41,202.05,4,180.92,21.13,Flat,1603.4160000000002,22.36,0.72,40.69,181.16,49.3,32.52,0.0,136.793200001,941.3778026760001
37,41.86787,-87.62640400000001,42,209.22,35,180.97,28.25,Pitched,1603.4160000000002,22.36,0.72,40.69,181.16,49.3,32.52,0.0,36.1903999969,63.3768049326
37,41.86787,-87.62640400000001,41,206.07,6,180.8,25.26,Flat,1603.4160000000002,22.36,0.72,40.69,181.16,49.3,32.52,0.0,147.40419999899999,568.741768731
38,41.86871,-87.62982199999999,42,189.6,37,180.74,8.86,Pitched,106.506,8.9,1.98,11.18,180.82,21.0,5.07,0.0,52.1485999972,106.50614103299999
39,41.86871,-87.628693,42,189.49,36,180.71,8.78,Pitched,106.506,8.79,2.53,11.04,180.79,21.0,5.07,0.0,52.148600000900004,106.506141072
41,41.868675,-87.635529,41,210.21,12,178.19,32.02,Flat,931.8660000000001,33.28,5.03,57.37,178.24,34.01,27.4,6.28,105.208765295,273.407855254
41,41.868675,-87.635529,41,210.52,3,177.03,33.49,Flat,931.8660000000001,33.28,5.03,57.37,178.24,34.01,27.4,6.28,18.2986357532,26.578052074499997
41,41.868675,-87.635529,999,210.28,18,176.51,33.77,Complex,931.8660000000001,33.28,5.03,57.37,178.24,34.01,27.4,6.28,106.42419524299999,315.314243977
41,41.868675,-87.635529,41,212.28,2,177.5,34.78,Flat,931.8660000000001,33.28,5.03,57.37,178.24,34.01,27.4,6.28,84.8865565341,286.812865391
41,41.868675,-87.635529,42,219.76,51,178.44,41.32,Pitched,931.8660000000001,33.28,5.03,57.37,178.24,34.01,27.4,6.28,19.360835581,29.7532161004
45,41.868717,-87.627563,42,188.88,26,180.43,8.45,Pitched,102.962,6.86,2.84,8.51,180.6,14.86,6.93,0.65,43.5757446163,102.96150355399999
46,41.867851,-87.630951,41,185.73,6,180.75,4.98,Flat,10277.821,12.51,0.01,20.52,182.78,152.31,77.22,1.55,119.60943590000002,489.030093159
46,41.867851,-87.630951,42,192.05,51,183.2,8.85,Pitched,10277.821,12.51,0.01,20.52,182.78,152.31,77.22,1.55,37.4123999998,47.5203816518
46,41.867851,-87.630951,42,201.97,25,187.25,14.72,Pitched,10277.821,12.51,0.01,20.52,182.78,152.31,77.22,1.55,43.47580160729999,147.438154851
