,BLDGID,Area,Cool_Elec,Heat_Elec,IN_light_Elec,OUT_light_Elec,HVAC_Intensity,Light_Intensity,Heat_rejection,HVAC_Elec_Intensity,HVAC_Ngas_Intensity,Total_Elec,Total_Elec_Intensity,Heat_NatG,Total_NatG,Total_NatG_Intensity,F_AREA_M2,AVGHT_M
0,1,285.41,10.22,78.4,26.59,106.87,320.6,467.63,0,320.6,158.13,259.35,908.69,4.86,45.13,158.13,142.601,1.74
1,10,282.49,12.66,167.71,26.32,106.87,663.98,471.5,0,663.98,143.45,354.79,1255.94,0.25,40.52,143.45,141.141,3.73
2,100,42305.17,509.59,0,4026.64,2604.58,28.3,156.75,121.61,28.3,245.04,13343.06,315.4,10279.04,10366.43,245.04,1921.557,63.84
3,100,42305.17,509.59,0,4026.64,2604.58,28.3,156.75,121.61,28.3,245.04,13343.06,315.4,10279.04,10366.43,245.04,1921.557,63.84
4,100,42305.17,509.59,0,4026.64,2604.58,28.3,156.75,121.61,28.3,245.04,13343.06,315.4,10279.04,10366.43,245.04,1921.557,63.84
5,101,9876.54,147.8,0,940.06,2604.58,35.57,358.9,63.66,35.57,371.21,5183.45,524.82,3578.87,3666.26,371.21,616.83,46.53
6,101,9876.54,147.8,0,940.06,2604.58,35.57,358.9,63.66,35.57,371.21,5183.45,524.82,3578.87,3666.26,371.21,616.83,46.53
7,101,9876.54,147.8,0,940.06,2604.58,35.57,358.9,63.66,35.57,371.21,5183.45,524.82,3578.87,3666.26,371.21,616.83,46.53
8,101,9876.54,147.8,0,940.06,2604.58,35.57,358.9,63.66,35.57,371.21,5183.45,524.82,3578.87,3666.26,371.21,616.83,46.53
9,10102,318953.75,2976.99,0,30358.27,2604.58,20.93,103.35,690.9,20.93,170.18,81218.16,254.64,54191.07,54278.46,170.18,7588.584,125.31
10,10102,318953.75,2976.99,0,30358.27,2604.58,20.93,103.35,690.9,20.93,170.18,81218.16,254.64,54191.07,54278.46,170.18,7588.584,125.31
11,10102,318953.75,2976.99,0,30358.27,2604.58,20.93,103.35,690.9,20.93,170.18,81218.16,254.64,54191.07,54278.46,170.18,7588.584,125.31
12,10105,140599.95,1388.86,0,13382.41,2604.58,22.64,113.71,327.32,22.64,198.25,37497.9,266.7,27786.59,27873.98,198.25,3426.761,123.32
13,10105,140599.95,1388.86,0,13382.41,2604.58,22.64,113.71,327.32,22.64,198.25,37497.9,266.7,27786.59,27873.98,198.25,3426.761,123.32
14,10105,140599.95,1388.86,0,13382.41,2604.58,22.64,113.71,327.32,22.64,198.25,37497.9,266.7,27786.59,27873.98,198.25,3426.761,123.32
15,10105,140599.95,1388.86,0,13382.41,2604.58,22.64,113.71,327.32,22.64,198.25,37497.9,266.7,27786.59,27873.98,198.25,3426.761,123.32
16,10105,140599.95,1388.86,0,13382.41,2604.58,22.64,113.71,327.32,22.64,198.25,37497.9,266.7,27786.59,27873.98,198.25,3426.761,123.32
17,10105,140599.95,1388.86,0,13382.41,2604.58,22.64,113.71,327.32,22.64,198.25,37497.9,266.7,27786.59,27873.98,198.25,3426.761,123.32
18,10105,140599.95,1388.86,0,13382.41,2604.58,22.64,113.71,327.32,22.64,198.25,37497.9,266.7,27786.59,27873.98,198.25,3426.761,123.32
19,10105,140599.95,1388.86,0,13382.41,2604.58,22.64,113.71,327.32,22.64,198.25,37497.9,266.7,27786.59,27873.98,198.25,3426.761,123.32
20,10105,140599.95,1388.86,0,13382.41,2604.58,22.64,113.71,327.32,22.64,198.25,37497.9,266.7,27786.59,27873.98,198.25,3426.761,123.32
21,10105,140599.95,1388.86,0,13382.41,2604.58,22.64,113.71,327.32,22.64,198.25,37497.9,266.7,27786.59,27873.98,198.25,3426.761,123.32
22,10105,140599.95,1388.86,0,13382.41,2604.58,22.64,113.71,327.32,22.64,198.25,37497.9,266.7,27786.59,27873.98,198.25,3426.761,123.32
23,10105,140599.95,1388.86,0,13382.41,2604.58,22.64,113.71,327.32,22.64,198.25,37497.9,266.7,27786.59,27873.98,198.25,3426.761,123.32
24,10105,140599.95,1388.86,0,13382.41,2604.58,22.64,113.71,327.32,22.64,198.25,37497.9,266.7,27786.59,27873.98,198.25,3426.761,123.32
25,10105,140599.95,1388.86,0,13382.41,2604.58,22.64,113.71,327.32,22.64,198.25,37497.9,266.7,27786.59,27873.98,198.25,3426.761,123.32
